Depressive episodes
Read V2 Code | Description
E0013 | Presenile dementia with depression
E0021 | Senile dementia with depression
E112. | Single major depressive episode
E1120 | Single major depressive episode, unspecified
E1121 | Single major depressive episode, mild
E1122 | Single major depressive episode, moderate
E1123 | Single major depressive episode, severe, without mention of psychosis
E1124 | Single major depressive episode, severe, with psychosis
E1125 | Single major depressive episode, in partial or unspecified remission
E1126 | Single major depressive episode, in full remission
E112z | Single major depressive episode NOS
E113. | Recurrent major depressive episode
E1130 | Recurrent major depressive episodes, unspecified
E1131 | Recurrent major depressive episodes, mild
E1132 | Recurrent major depressive episodes, moderate
E1133 | Recurrent major depressive episodes, severe, without mention of psychosis
E1134 | Recurrent major depressive episodes, severe, with psychosis
E1137 | Recurrent depression
E113z | Recurrent major depressive episode NOS
E118. | Seasonal affective disorder
E11y2 | Atypical depressive disorder
E11z2 | Masked depression
E130. | Reactive depressive psychosis
E135. | Agitated depression
E2003 | Anxiety with depression
E291. | Prolonged depressive reaction
E2B.. | Depressive disorder NEC
E2B1. | Chronic depression
E2B0. | Postviral depression
Eu204 | [X]Post-schizophrenic depression
Eu251 | [X]Schizoaffective disorder, depressive type
Eu32. | [X]Depressive episode
Eu320 | [X]Mild depressive episode
Eu321 | [X]Moderate depressive episode
Eu322 | [X]Severe depressive episode without psychotic symptoms
Eu323 | [X]Severe depressive episode with psychotic symptoms
Eu324 | [X]Mild depression
Eu325 | [X]Major depression, mild
Eu326 | [X]Major depression, moderately severe
Eu327 | [X]Major depression, severe without psychotic symptoms
Eu328 | [X]Major depression, severe with psychotic symptoms
Eu32y |  [X]Other depressive episodes
Eu32z | [X]Depressive episode, unspecified
Eu33. | [X]Recurrent depressive disorder
Eu330 | [X]Recurrent depressive disorder, current episode mild
Eu331 | [X]Recurrent depressive disorder, current episode moderate
Eu332 | [X]Recurrent depressive disorder, current episode severe without psychotic symptoms
Eu333 | [X]Recurrent depressive disorder, current episode severe with psychotic symptoms
Eu334 | [X]Recurrent depressive disorder, currently in remission
Eu33y | [X]Other recurrent depressive disorders
Eu33z | [X]Recurrent depressive disorder, unspecified
Eu412 | [X]Mixed anxiety and depressive disorder

Read CTV3 Code | Description
X00Sb | Mixed anxiety and depressive disorder
X00SO | Depressive disorder
X761L | Seasonal affective disorder
Xa0wV | Recurrent brief depressive disorder
X00SQ | Agitated depression
XE1YC | Reactive depression
X00SR | Endogenous depression
X00SS | Endogenous depression first episode
XE1Y0 | Single major depressive episode
E1120 | Single major depressive episode, unspecified
E1121 | Single major depressive episode, mild
E1122 | Single major depressive episode, moderate
E1123 | Single major depressive episode, severe, without mention of psychosis
E1124 | Single major depressive episode, severe, with psychosis
XaX53 | Single major depressive episode, severe, with psychosis, psychosis in remission
E1125 | Single major depressive episode, in partial or unspecified remission
E1126 | Single major depressive episode, in full remission
E112z | Single major depressive episode NOS
XM1GC | Endogenous depression - recurrent
E1130 | Recurrent major depressive episodes, unspecified
E1131 | Recurrent major depressive episodes, mild
E1132 | Recurrent major depressive episodes, moderate
E1133 | Recurrent major depressive episodes, severe, without mention of psychosis
E1134 | Recurrent major depressive episodes, severe, with psychosis
E1135 | Recurrent major depressive episodes, in partial or unspecified remission
E1136 | Recurrent major depressive episodes, in full remission
E113z | Recurrent major depressive episode NOS
X00SU | Masked depression
E11y2 | Atypical depressive disorder
X00S8 | Post-schizophrenic depression
XSEGJ | Major depressive disorder
XSKr7 | Cotard syndrome
XSGol | Moderate major depression
XSGok | Mild major depression
XSGom | Severe major depression without psychotic features
XSGon | Severe major depression with psychotic features
E1137 | Recurrent depression
E130. | Reactive depressive psychosis
E2B.. | Depressive disorder NEC
E2B0. | Postviral depression
E2B1. | Chronic depression
Eu320 | [X]Mild depressive episode
Eu321 | [X]Moderate depressive episode
Eu331 | [X]Recurrent depressive disorder, current episode moderate
XE1Y1 | Recurrent major depressive episodes
XE1ZY | [X]Severe depressive episode without psychotic symptoms
XE1ZZ | [X]Severe depressive episode with psychotic symptoms
XE1Za | [X]Other depressive episodes
XE1Zb | [X]Depressive episode, unspecified
XE1Zd | [X]Recurrent depressive disorder, current episode severe without psychotic symptoms
XE1Ze | [X]Recurrent depressive disorder, current episode severe with psychotic symptoms
XE1Zf | [X]Recurrent depressive disorder, unspecified
XaB9J | Depression NOS
XaCHr | [X] Single episode agitated depression without psychotic symptoms
XaCHs | [X] Single episode major depression without psychotic symptoms
XaCIs | Mild depression
XaCIt | Moderate depression
XaCIu | Severe depression
E0013 | Presenile dementia with depression
E0021 | Senile dementia with depression

SNOMED Code | Description
832007 | Moderate major depression (disorder)
2618002 | Chronic recurrent major depressive disorder (disorder)
14070001 | Multi-infarct dementia with depression (disorder)
14183003 | Chronic major depressive disorder, single episode (disorder)
15193003 | Severe recurrent major depression with psychotic features, mood-incongruent (disorder)
15639000 | Moderate major depression, single episode (disorder)
18818009 | Moderate recurrent major depression (disorder)
19527009 | Single episode of major depression in full remission (disorder)
20250007 | Severe major depression, single episode, with psychotic features, mood-incongruent (disorder)
25922000 | Major depressive disorder, single episode with postpartum onset (disorder)
26852004 | Primary degenerative dementia of the Alzheimer type, senile onset, with depression (disorder)
28475009 | Severe recurrent major depression with psychotic features (disorder)
30605009 | Major depression in partial remission (disorder)
33078009 | Severe recurrent major depression with psychotic features, mood-congruent (disorder)
33135002 | Recurrent major depression in partial remission (disorder)
33736005 | Severe major depression with psychotic features, mood-congruent (disorder)
35489007 | Depressive disorder (disorder)
36474008 | Severe recurrent major depression without psychotic features (disorder)
36923009 | Major depression, single episode (disorder)
38694004 | Recurrent major depressive disorder with atypical features (disorder)
39809009 | Recurrent major depressive disorder with catatonic features (disorder)
40379007 | Mild recurrent major depression (disorder)
40568001 | Recurrent brief depressive disorder (disorder)
42925002 | Major depressive disorder, single episode with atypical features (disorder)
48589009 | Minor depressive disorder (disorder)
58703003 | Postpartum depression (disorder)
60099002 | Severe major depression with psychotic features, mood-incongruent (disorder)
66344007 | Recurrent major depression (disorder)
69392006 | Major depressive disorder, single episode with catatonic features (disorder)
70747007 | Major depression single episode, in partial remission (disorder)
71336009 | Recurrent major depressive disorder with postpartum onset (disorder)
73867007 | Severe major depression with psychotic features (disorder)
75084000 | Severe major depression without psychotic features (disorder)
76441001 | Severe major depression, single episode, without psychotic features (disorder)
77911002 | Severe major depression, single episode, with psychotic features, mood-congruent (disorder)
79298009 | Mild major depression, single episode (disorder)
79842004 | Stuporous depression (disorder)
82218004 | Postoperative depression (disorder)
83458005 | Agitated depression (disorder)
84788008 | Menopausal depression (disorder)
87414006 | Reactive depression (situational) (disorder)
87512008 | Mild major depression (disorder)
161469008 | History of depression (situation)
191457008 | Senile dementia with depressive or paranoid features (disorder)
191459006 |  Senile dementia with depression (disorder)
191466007 | Arteriosclerotic dementia with depression (disorder)
